IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
2a06:98c1:3109:7b51:6688:ee81:cc37:d077,4,4,0.00,175.54,18.84,LAX
2606:4700:3000:dd89:a2a9:28d7:4e2f:92a7,4,4,0.00,175.91,18.74,LAX
2606:4700:3000:dd89:2454:35e:fc29:d993,4,4,0.00,175.36,18.64,LAX
2a06:98c1:3101:df14:98cf:17fa:cabe:efce,4,4,0.00,176.99,18.41,LAX
2a06:98c1:3109:6b:75db:a8ca:77db:c5ed,4,4,0.00,173.88,18.35,LAX
2606:4700:3009:0:d1:751c:71f8:e92e,4,4,0.00,176.86,18.30,LAX
2a06:98c1:3101:dfc2:26b8:952a:7dc9:5a46,4,4,0.00,176.68,18.25,LAX
2a06:98c1:3101:5d2f:f134:b9e2:7d7f:c00,4,4,0.00,176.54,18.20,LAX
2a06:98c1:3109:6b:75db:d8c:c84b:3034,4,4,0.00,175.11,18.15,LAX
2606:4700:3000:6377:8213:37d4:763b:bed8,4,4,0.00,174.20,17.95,LAX
2a06:98c1:3101:5d2f:cd1e:f960:a554:571,4,4,0.00,175.57,16.82,LAX
2606:4700:3000:dd89:2454:4219:65d8:e708,4,4,0.00,175.22,16.61,LAX
2a06:98c1:3101:f66c:2e49:e2a0:a1b0:dc0a,4,4,0.00,176.83,16.22,LAX
2606:4700:3000:dd89:2454:35e:3962:3cc3,4,4,0.00,176.42,16.21,LAX
2606:4700:3009:f9:551f:aa4d:464c:abad,4,4,0.00,176.30,10.78,SJC
